datetime,symbol,side,qty,price,cost,fee_cost,fee_currency
2026-02-09T08:31:47.799Z,ETH/USDT:USDT,buy,0.048,2038.6,97.8528,0.0489264,USDT
2026-02-09T08:32:27.057Z,ETH/USDT:USDT,buy,0.049,2038.38,99.88062,0.04994031,USDT
2026-02-09T08:32:27.975Z,SOL/USDT:USDT,buy,1.18,84.07,99.2026,0.0496013,USDT
2026-02-09T08:32:29.783Z,DOGE/USDT:USDT,sell,306.0,0.09389,28.73034,0.01436517,USDT
2026-02-09T08:32:29.783Z,DOGE/USDT:USDT,sell,758.0,0.09389,71.16862,0.03558431,USDT
2026-02-09T08:32:56.969Z,BNB/USDT:USDT,buy,0.15,623.31,93.4965,0.04674825,USDT
2026-02-09T08:33:23.010Z,SOL/USDT:USDT,sell,1.18,84.06,99.1908,0.0495954,USDT
2026-02-09T08:33:23.209Z,ETH/USDT:USDT,sell,0.049,2037.78,99.85122,0.04992561,USDT
2026-02-09T08:33:23.409Z,DOGE/USDT:USDT,buy,106.0,0.09391,9.95446,0.00497723,USDT
2026-02-09T08:33:23.409Z,DOGE/USDT:USDT,buy,104.0,0.09391,9.76664,0.00488332,USDT
2026-02-09T08:33:23.409Z,DOGE/USDT:USDT,buy,854.0,0.09391,80.19914,0.04009957,USDT
2026-02-09T08:33:27.089Z,ETH/USDT:USDT,buy,0.049,2036.19,99.77331,0.04988665,USDT
2026-02-09T08:33:28.014Z,DOGE/USDT:USDT,buy,1064.0,0.0938,99.8032,0.0499016,USDT
2026-02-09T08:33:28.920Z,LINK/USDT:USDT,sell,11.59,8.614,99.83626,0.04991813,USDT
2026-02-09T08:33:29.823Z,SOL/USDT:USDT,sell,1.18,83.9,99.002,0.049501,USDT
2026-02-09T08:38:05.447Z,SOL/USDT:USDT,buy,1.18,84.41,99.6038,0.0498019,USDT
2026-02-09T08:38:12.988Z,LINK/USDT:USDT,buy,4.53,8.662,39.23886,0.01961943,USDT
2026-02-09T08:38:12.988Z,LINK/USDT:USDT,buy,7.06,8.662,61.15372,0.03057686,USDT
2026-02-09T08:41:37.134Z,ETH/USDT:USDT,sell,0.049,2047.89,100.34661,0.0501733,USDT
2026-02-09T08:41:37.334Z,DOGE/USDT:USDT,sell,1064.0,0.09435,100.3884,0.0501942,USDT
2026-02-09T09:27:49.148Z,LINK/USDT:USDT,sell,4.53,8.649,39.17997,0.01958998,USDT
2026-02-09T09:27:49.148Z,LINK/USDT:USDT,sell,3.47,8.649,30.01203,0.01500601,USDT
2026-02-09T09:27:49.148Z,LINK/USDT:USDT,sell,2.55,8.649,22.05495,0.01102747,USDT
2026-02-09T09:27:49.148Z,LINK/USDT:USDT,sell,3.32,8.649,28.71468,0.01435734,USDT
